type,time,author,message,latitude,longitude, location,tag,keyword
mbdata,18:00:03,KronosQuoth,"['the', 'successful', 'warrior', 'is', 'the', 'average', 'man,', 'with', 'laser-like', 'focus.', '', '#pokrally', '#hi']",,,,unrelated,successful
mbdata,18:00:03,KronosQuoth,"['if', 'you', 'do', 'what', 'youve', 'always', 'done,', 'youll', 'get', 'what', 'youve', 'always', 'gotten.', '', '#kronosstar', '#pokrally']",,,,unrelated,you
mbdata,18:00:03,rockinHW,"['artist', '?', 'musician?', 'need', 'more', 'followers', '?', 'click', 'here', '', 'followme.kronos/artists', '#abila', '#artists']",,,,advertisement,more
mbdata,18:00:28,Clevvah4Evah,"['in', 'edition,', 'you', 'should', 'always', 'add', 'instead', 'of', 'multiply', '#pok', '#rally', '#grammar']",,,,unrelated,you
mbdata,18:00:28,KronosQuoth,"['what', 'seems', 'to', 'us', 'as', 'bitter', 'trials', 'are', 'often', 'blessings', 'in', 'disguise.', '#pokrally', '#hi']",,,,unrelated,what
mbdata,18:00:48,KronosQuoth,"['start', 'where', 'you', 'are.', 'use', 'what', 'you', 'have.', '', 'do', 'what', 'you', 'can.', '', '#kronosstar', '#pokrally']",,,,unrelated,you
mbdata,18:00:48,KronosQuoth,"['either', 'write', 'something', 'worth', 'reading', 'or', 'do', 'something', 'worth', 'writing.', '', '#kronosstar', '#pokrally']",,,,unrelated,do
mbdata,18:01:12,KronosQuoth,"['blessed', 'are', 'those', 'who', 'can', 'give', 'without', 'remembering', 'and', 'take', 'without', 'forgetting.', '', '#pokrally', '#hi']",,,,unrelated,can
mbdata,18:01:12,rockinHW,"['free', 'ithing', 'contest', 'click', 'here', 'contest.kronos/freeithing', '', '#abila', '#ithing']",,,,advertisement,here
mbdata,18:01:32,KronosQuoth,"['if', 'you', 'can', 'dream', 'it,', 'you', 'can', 'achieve', 'it.', '', '#kronosstar', '#pokrally']",,,,unrelated,you
mbdata,18:01:32,KronosQuoth,"['remember', 'that', 'not', 'getting', 'what', 'you', 'want', 'is', 'sometimes', 'a', 'wonderful', 'stroke', 'of', 'luck.', '', '#kronosstar', '#pokrally']",,,,unrelated,you
mbdata,18:01:32,KronosQuoth,"['courage', 'is', 'resistance', 'to', 'fear,', 'mastery', 'of', 'fear', '-', 'not', 'absense', 'of', 'fear.', '', '#pokrally', '#hi']",,,,unrelated,fear
mbdata,18:02:03,KronosQuoth,"['i', 'find', 'that', 'when', 'you', 'have', 'a', 'real', 'interest', 'in', 'life', 'and', 'a', 'curious', 'life,', 'that', 'sleep', 'is', 'not', 'the', 'most', 'important', 'thing.', '', '#pokrally', '#hi']",,,,unrelated,you
mbdata,18:02:03,Clevvah4Evah,"['dont', 'loose', 'your', 'way', 'in', 'the', 'dark', 'going', 'home', '#pok', '#rally', '#grammar']",,,,unrelated,your
mbdata,18:02:05,POK,"['di', 'stefano:', 'long', 'term', 'profits', 'are', 'about', 'more', 'than', 'just', 'money']",,,,others,just
mbdata,18:02:05,SaveOurWildlands,"['thousands', 'of', 'cormorants', 'may', 'be', 'exposed', 'to', 'chemicals', 'according', 'to', 'a', 'new', 'study:', 'sow.kronos/distafano_s30127.pdf']",,,,advertisement,may
mbdata,18:02:05,ourcountryourrights,"['demand', 'accountability', 'in', 'government', '#pok']",,,,others,government
mbdata,18:02:05,FriendsOfKronos,"['what', 'we', 'need', 'to', 'demand', 'proffessor', 'is', 'that', 'people', 'like', 'you', 'stop', 'aiding', 'terrorists', '#pok']",,,,others,you
mbdata,18:02:27,Clevvah4Evah,"['gastech', 'said', 'they', 'would', 'give', 'me', 'a', 'bonus!', '#pok', '#rally', '#grammar']",,,,unrelated,they
mbdata,18:02:27,KronosQuoth,"['too', 'many', 'of', 'us', 'are', 'not', 'living', 'our', 'dreams', 'because', 'we', 'are', 'living', 'our', 'fears.', '', '#kronosstar', '#pokrally']",,,,unrelated,we
mbdata,18:02:36,maha_Homeland,"['di', 'stefano:', 'social', 'engagement', 'drives', 'sustability', 'innovation']",,,,others,di
mbdata,18:02:50,KronosQuoth,"['successful', 'entrepreneurs', 'are', 'givers', 'and', 'not', 'takers', 'of', 'positive', 'energy.', '', '#pokrally', '#hi']",,,,unrelated,successful
mbdata,18:02:50,KronosQuoth,"['do', 'one', 'thing', 'every', 'day', 'that', 'scares', 'you.', '', '#pokrally', '#hi']",,,,unrelated,do
