mbdata,19:41:00,stolkfair,"['rt', '@kronosstar', 'abila', 'police', 'have', 'cornered', 'the', 'erratic', 'driver', 'in', 'a', 'parking', 'lot', 'near', 'the', 'intersection', 'of', 'alexandrias', 'and', 'ithakis.', 'shots', 'fired.', '#kronosstar']",,,,chatter,police
mbdata,19:41:00,FriendsOfKronos,"['gunfire', 'at', 'gelatogalore', 'give', 'ya', 'one', 'guess:', 'pok', 'terrorists']",,,,others,pok
mbdata,19:41:00,protoGuy,"['omg', 'a', 'cop', 'got', 'hit.', ""he's"", 'down', 'blood', 'everywhere']",,,,others,got
mbdata,19:41:00,Sara_Nespola,"['somebody', 'is', 'shooting', 'at', 'us!']",,,,others,shooting
mbdata,19:41:00,megaMan,"['@ben', 'bullets', ""can't"", 'go', 'thru', 'mailbox!', '#thanks4nothing']",,,,report,go
mbdata,19:41:00,CentralBulletin,"['report', 'of', 'gun', 'fire', 'at', 'abila', 'business', '#abila', '#centralbulletin']",,,,report,fire
mbdata,19:41:00,SiaradSea,"['i', 'think', 'a', 'cop', 'got', 'hit!']",,,,others,think
mbdata,19:41:00,prettyRain,"['still', 'here', 'but', ""there's"", 'lots', 'more', 'police.', ""what's"", 'going', 'on?!!?']",,,,others,but
mbdata,19:41:00,roger_roger,"['i', 'can', 'hear', 'sirens', 'and', 'chouting', 'outside']",,,,others,can
ccdata,19:41:00,,"['suspicious', 'subject/circumstances-in', 'progress']",,,3107 N. Alexandrias St,others,progress
mbdata,19:41:03,truccotrucco,"['what', 'is', 'happening?', 'they', 'r', 'right', 'out', 'front', 'shooting']",36.059,24.856,,report,what
mbdata,19:41:07,FriendsOfKronos,"['what', 'is', 'abila', 'coming', 'to?', 'used', 'to', 'be', 'a', 'peaceful', 'city', 'before', 'pok', 'started', 'their', 'peaceful', 'movement', '#pok', '#terror']",,,,others,what
mbdata,19:41:07,megaMan,"['black', 'van', 'faces', 'off', 'two', 'cop', 'cars,', 'shots', 'fired,', 'people', 'undercover,', 'not', 'moving', 'until', 'its', 'under', 'control', '#troubleatgelato']",,,,report,people
mbdata,19:41:07,yomamma,"['scared', 'to', 'death', '-', 'i', 'was', 'just', 'going', 'to', 'go', 'out', 'for', 'gelato...', 'i', 'could', 'have', 'been', 'there', 'right', 'now!']",,,,others,out
mbdata,19:41:07,roger_roger,"[""what's"", 'going', 'on', 'out', 'there?']",,,,others,out
mbdata,19:41:07,Simon_Hamaeth,"['i', 'think', 'a', 'cop', 'just', 'got', 'shot', 'right', 'outside', '#carlyscoffee', '#apd']",,,,others,just
ccdata,19:41:07,,"['traffic', 'stop']",,,2708 N. Polvo St,others,stop
mbdata,19:41:13,truccotrucco,"['never', 'been', 'so', 'scared', 'under', 'the', 'table', 'in', 'gelatogalore', 'cant', 'see', 'much', 'just', 'cop', 'lights']",36.059,24.856,,report,just
